"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"CPM (custo por 1.000 impressões)","Retorno sobre o investimento em publicidade (ROAS) das compras feitas no site","Valor de conversão das compras diretas no site","Valor de conversão da compra no site","Valor médio de conversão de compra","Valor de conversão de finalizações de compra iniciadas no site","Início dos relatórios","Término dos relatórios"
"[ABO] Imagem - UK [16.02.26]","[ABO] Imagem CJ 1 - ESPANHA","[ABO] Imagem AD10",inactive,ad,1495,2022,1.35250836,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,123.84,,2026-02-16,Contínuo,61.2462908,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD02_IMG_5_Premium_Shirt,active,ad,597,732,1.22613065,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,121.48,,2026-03-09,Contínuo,165.95628415,,0,,,,2026-02-13,2026-03-14
"[ABO] VIDEO 23.02","[ABO] VIDEO AD 01 - UK","VIDEO AD 01 - UK",not_delivering,ad,681,733,1.0763583,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,114,,2026-02-23,Contínuo,155.52523874,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_06.03.26,reino_unido_ig,AD02_IMG_5_Premium_Shirt,active,ad,628,790,1.25796178,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,106.55,,2026-03-06,Contínuo,134.87341772,,0,,,,2026-02-13,2026-03-14
"[ABO] VIDEO 23.02","[ABO] VIDEO AD 01 - ESPANHA","VIDEO AD 01 - ESPANHA",not_delivering,ad,743,947,1.27456258,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,103.83,,2026-02-23,Contínuo,109.64097149,,0,,,,2026-02-13,2026-03-14
"[ABO] Videos [ 12.02.26]","[ABO] Videos AD 03","VIDEO AD 01",not_delivering,ad,736,772,1.04891304,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,91.97,,2026-02-12,Contínuo,119.13212435,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_09.03.26,reino_unido_ig,AD01_IMG_2_Get_1,inactive,ad,453,657,1.45033113,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,89.36,,2026-03-09,Contínuo,136.01217656,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens - UK [27.02.26] 02","[CBO] Imagens - Conj 2","[CBO] IMAGEM - AD23",not_delivering,ad,466,480,1.03004292,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,85.97,,2026-02-27,Contínuo,179.10416667,,0,,,,2026-02-13,2026-03-14
"[ABO] Videos [ 12.02.26]","[ABO] Videos AD 01","VIDEO AD 01",not_delivering,ad,375,403,1.07466667,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,68.62,,2026-02-12,Contínuo,170.27295285,,0,,,,2026-02-13,2026-03-14
"[ABO] Imagem - UK [22.02.26]","[ABO] Imagem CJ 4 - UK","[ABO] IMAGEM AD13 - PAGINA NOVA",not_delivering,ad,335,403,1.20298507,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,67.17,,2026-02-22,Contínuo,166.67493797,,0,,,,2026-02-13,2026-03-14
